rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth,Cluster ID,confidence_score
1, mitchell, green,7, wallaby place, delmar, cleveland,2119, sa,19560409,0,0.8571391100821428
2, harley, mccarthy,177, pridhamstreet, milton, marsden,3165, nsw,19080419,1,0.8571450125854754
3, madeline, mason,54, hoseason street, lakefront retrmnt vlge, granville,4881, nsw,19081128,2,0.8571412874738042
4, isabelle, ,23, gundulu place, currin ga, utakarra,2193, wa,19921119,3,0.8571417351253044
5, taylor, hathaway,7, yuranigh court, brentwood vlge, ,4220, nsw,19991207,1118,1.0
6, toby, webb,6, kent street, kersey' south, towradgi,3107, nsw,19940503,4,0.8571363688323465
7, harry, stubs, , mountain creek road, , eaton,7310, vic,19721113,6,0.8571424185571208
8, lydia, mccattmhy,32, mckillop ecircuit, telemon orchards, corio,4670, nsw,19751220,7,0.8571439190762826
9, hollie, lillie-hinrichs,27, hemmings crescent, kilvintonvillage, banyo,4030, ,19251130,8,0.8571464
10, dylan, zilm,17, blameycrescent, condinup, wattle glen,4211, vic,19671229,9,0.8571449806406326
11, , donaldson,14, manity court, pacific terraces, charmhaven,3101, vic,19940825,10,0.8571423566243731
12, isabella, vincent,16, wilshiredstreet, erinsavle, rose ay,6207, vic,19760517,1119,1.0
13, connor, bishop,27, jarreah, mackinnon street, aspley,6052, ,19200417,12,0.8571429
14, connor, shepherd,39, burnage place, rowethorpe, winstonhills,3183, nsw,19320907,1120,1.0
15, natalia, gredn,358, macrossan crescent, newman medicajl centre, yagoona,2535, qld,19910111,14,0.85714626
16, georgia, pettigrove,5, sinclair street, pinds, prairei,2478, nsw,19231019,15,0.8571465632228078
17, wilson, pitno,11, bousteadcircuit, jewells medical centre, granville,3161, qld,19971229,16,0.8571449219664503
18, andrew, klander,20, newman morris circuit, the willows, homebush,2285, vic,19761017,17,0.85714716
19, tahni, skeen,11, macfarland crescent, , ryde,3220, ,19231110,1121,1.0
20, kasey, millar, , burdekin avenue, crown allot, woollahra,4217, qld,19930714,19,0.8571362286747335
21, keziah, parr,20, clift crecent, bro okvale, murphys rceek,2761, nsw,19550103,20,0.85714626
22, braecon, schuetz,122, howarth place, villa 19, alice springs,2028, vic,19440909,21,0.8571418807209976
23, nemesia, grifefn,10, derrington c rescent, hd curramulka, beechboro,2262, nsw,19870509,1122,1.0
24, , white,21, boobialla street, sheep s tation, carlingford,2830, qld,19241214,22,0.857140046971151
25, quilliam, ashleigh,57, bedford s treet, rosall, surrey hills,6525, nsw,19460730,27,0.8571385146734348
