rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth,Cluster ID,confidence_score
1, mitchell, green,7, wallaby place, delmar, cleveland,2119, sa,19560409,1023,1.0
2, harley, mccarthy,177, pridhamstreet, milton, marsden,3165, nsw,19080419,0,0.860507876258791
3, madeline, mason,54, hoseason street, lakefront retrmnt vlge, granville,4881, nsw,19081128,1,0.9154551021140532
4, isabelle, ,23, gundulu place, currin ga, utakarra,2193, wa,19921119,2,0.745437376949321
5, taylor, hathaway,7, yuranigh court, brentwood vlge, ,4220, nsw,19991207,1024,1.0
6, toby, webb,6, kent street, kersey' south, towradgi,3107, nsw,19940503,1025,1.0
7, harry, stubs, , mountain creek road, , eaton,7310, vic,19721113,1026,1.0
8, lydia, mccattmhy,32, mckillop ecircuit, telemon orchards, corio,4670, nsw,19751220,1027,1.0
9, hollie, lillie-hinrichs,27, hemmings crescent, kilvintonvillage, banyo,4030, ,19251130,5,0.9540632
10, dylan, zilm,17, blameycrescent, condinup, wattle glen,4211, vic,19671229,6,0.7071110428753058
11, , donaldson,14, manity court, pacific terraces, charmhaven,3101, vic,19940825,1028,1.0
12, isabella, vincent,16, wilshiredstreet, erinsavle, rose ay,6207, vic,19760517,1029,1.0
13, connor, bishop,27, jarreah, mackinnon street, aspley,6052, ,19200417,8,0.6691894
14, connor, shepherd,39, burnage place, rowethorpe, winstonhills,3183, nsw,19320907,1030,1.0
15, natalia, gredn,358, macrossan crescent, newman medicajl centre, yagoona,2535, qld,19910111,10,0.8848103270515738
16, georgia, pettigrove,5, sinclair street, pinds, prairei,2478, nsw,19231019,11,0.757465691615365
17, wilson, pitno,11, bousteadcircuit, jewells medical centre, granville,3161, qld,19971229,12,0.7616509158900273
18, andrew, klander,20, newman morris circuit, the willows, homebush,2285, vic,19761017,13,0.9310745
19, tahni, skeen,11, macfarland crescent, , ryde,3220, ,19231110,1031,1.0
20, kasey, millar, , burdekin avenue, crown allot, woollahra,4217, qld,19930714,1032,1.0
21, keziah, parr,20, clift crecent, bro okvale, murphys rceek,2761, nsw,19550103,16,0.8088838
22, braecon, schuetz,122, howarth place, villa 19, alice springs,2028, vic,19440909,17,0.8743402339162625
23, nemesia, grifefn,10, derrington c rescent, hd curramulka, beechboro,2262, nsw,19870509,1033,1.0
24, , white,21, boobialla street, sheep s tation, carlingford,2830, qld,19241214,1034,1.0
25, quilliam, ashleigh,57, bedford s treet, rosall, surrey hills,6525, nsw,19460730,1035,1.0
26, jacqueline, daykin,21, mackie crescent, logan central plaza, pottsville beach,2213, qld,19510605,1036,1.0
27, amelia, benger,51, macalister crescent, , sippy downs,4110, nsw,19420909,1037,1.0
28, rily, gloster,24, farrerplace, , frankston,3178, nsw,19590124,24,0.8015857372222612
29, lily, thorpe,313, rivett place, thurlgona, mount gravatt,6104, wa,19310318,25,0.9407711021989162
30, lary, slape,11, lamington street, rosehe ll, albany creek,6020, wa,19010927,27,0.6625830036590216
31, joshua, linnell,2, lambrigg treet, craigie ela garden, rowville,3185, qld,19480511,1038,1.0
32, joshua, linnell,2, lambrigg street, craigie lea garden, balwyn north,3185, qld,19480511,28,0.9221264078726659
33, sophie, grubb,36, furphy place, mid city centre, cottles bridge,5091, qld,19230322,1039,1.0
34, john, slywka,33, gowrie court, boxwood vale, north ward,6014, tas,19590803,1040,1.0
35, alexandra, robson,4, brunswick circuit, keith payne hstl, mount sophia,5024, nsw,19470726,167,0.7349296217256283
36, stella, chandler,50, ebden street, rosetta village, coffs harbour,6304, vic,19741215,29,0.8616761579784764
37, thomas, white,706, monaro crescent, birra billa, point lofsdale,2088, wa,19310818,30,0.8972193611809219
38, hannah, bloomfield,7, ferguson circuit, crown allotment, oakden,7253, nsw,19130806,1041,1.0
39, , kochiwama,44, antares crescent, telopea p ark, benowa,7017, nsw,19000626,1042,1.0
40, lauren, bradshaw,130, ashcroft crescent, upa cottages, stirling north,2198, vic,19301022,1043,1.0
41, willow, froscio,378, yandastreet, , keilor,5022, vic,19091226,34,0.8161296
42, sophie, nicolle,112, garling street, spring creek, kotara,4740, nt,19111001,35,0.8799476397876802
43, andrew, klander,20, newman morois circuit, the willows, homebush,2285, vic,19761017,13,0.9310745
44, angus, stanley,6, lazar place, koobeja, floradhill,7008, qld,19971003,36,0.9144254
45, jack, stubbs,150, heard street, summerset, st agnes,5344, qld,19890526,37,0.8052042967648054
46, matthew, leong,5, kavelstreet, glen-mwria, minchinbfry,6153, nsw,19170916,38,0.7629166838937016
47, stella, chandler,50, ebden street, rosetta vlilage, coffs harbour,6304, vic,19741215,29,0.8330379671558497
48, katel byn, colegte,55, fiveas hstreet, retirement village, londonderry,2195, nsw,19280828,1044,1.0
49, ebiny, morby, , condavale, macgillivray street, armidale,2111, nsw,19840906,1045,1.0
50, charlie, ebert,21, brewster place, summerdale medical centre, franskton,4570, vic,19711020,40,0.7670182222248615
51, charlotte, hylnand,25, madsen place, leisure lvikng vlge, clarinda,3108, qld,19820410,41,0.7575729827707067
52, cheree, purtell,1, spring rsnge road, guest village (cnrubullcreek d drive, cooma,6111, wa,19300407,42,0.8612153166252053
53, laura, ryan,3, officer crescent, craigie-lea, orange,2289, vic,19120402,1046,1.0
54, feilcity, godfrey,16, stuckey place, oaklands village, slacks creek,6050, nsw,19361030,320,0.6975350594492951
55, matthew, paine,7, mcintyre street, urunga, moulyinning,7000, nws,19250117,44,0.887517630117393
56, mikhayla, campbell,9, baynton street, st francis vlge, notting hill,4350, qld,19280711,1047,1.0
